,지역,구,제목,사업체명,교육업체,사업유형,계획인원,참여인원,기간,접수여부
610,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 에스엠정공 주식회사,김해노인일자리창출지원센터,현장실습훈련 지원,5,0,2025-02-27 ~ 2025-05-31,접수중
611,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, OK수지,김해노인일자리창출지원센터,현장실습훈련 지원,1,0,2025-03-19 ~ 2025-12-31,접수중
612,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 초림단지묵,김해노인일자리창출지원센터,현장실습훈련 지원,3,0,2025-03-28 ~ 2025-12-31,접수중
613,경상남도,김해시,제조업(자동차부품) 시니어인턴십 3개월 운영 후 신규고용, 동진산업,김해노인일자리창출지원센터,현장실습훈련 지원,3,0,2025-03-21 ~ 2025-12-31,접수중
614,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 우리여성병원,김해노인일자리창출지원센터,현장실습훈련 지원,10,0,2025-04-03 ~ 2025-12-31,접수중
615,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 도시별장,김해노인일자리창출지원센터,현장실습훈련 지원,3,0,2025-02-21 ~ 2025-04-30,접수중
616,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, (주)선용,김해노인일자리창출지원센터,현장실습훈련 지원,3,0,2025-03-04 ~ 2025-12-31,접수중
617,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 봄날재활주간보호센터,김해노인일자리창출지원센터,현장실습훈련 지원,2,0,2025-03-28 ~ 2025-12-31,접수중
618,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, (주)유니온물산,김해노인일자리창출지원센터,현장실습훈련 지원,3,0,2025-04-03 ~ 2025-12-31,접수중
619,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 의료법인 만전의료재단,김해노인일자리창출지원센터,현장실습훈련 지원,6,0,2025-03-14 ~ 2025-12-31,접수중
620,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 주식회사올오버,김해노인일자리창출지원센터,현장실습훈련 지원,2,0,2025-03-13 ~ 2025-06-12,접수중
621,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 주식회사 출광 금관주유소,김해노인일자리창출지원센터,현장실습훈련 지원,1,0,2025-03-24 ~ 2025-12-31,접수중
622,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 명성,김해노인일자리창출지원센터,현장실습훈련 지원,1,0,2025-04-11 ~ 2025-12-31,접수중
623,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 사단법인 함께 꿈을 그리다 서김해지역아동센터,김해노인일자리창출지원센터,현장실습훈련 지원,3,0,2025-01-01 ~ 2025-12-31,접수중
624,경상남도,김해시,"제조업,소매,도매업 주5일/ 8시간/ 급여(25년 최저임금기준), 4대보험, 퇴직금", 대량산업(주),김해노인일자리창출지원센터,현장실습훈련 지원,4,0,2025-01-02 ~ 2025-12-31,접수중
625,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, (주)부기산업,김해노인일자리창출지원센터,현장실습훈련 지원,4,0,2025-01-02 ~ 2025-12-31,접수중
626,경상남도,김해시,"도소매(청과,야채,수산) 일반형 5명", 다이뜨라장터,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,5,0,2025-04-10 ~ 2025-12-31,접수중
627,경상남도,김해시,제조(식품) 일반형 1명, (주)한정성,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,1,0,2025-03-27 ~ 2025-12-31,접수중
628,경상남도,김해시,제조(식육) 일반형 2명, 주식회사 나무식품,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,2,0,2025-02-18 ~ 2025-12-31,접수중
629,경상남도,김해시,제조업(자동차 차체 부품) 일반형 10명, 정아정밀(주)주촌2공장,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,10,0,2025-02-26 ~ 2025-12-31,접수중
630,경상남도,김해시,제조업(창호용 하드웨어 제작) 일반형 1명, (주)대현상공,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,1,0,2025-02-25 ~ 2025-12-31,접수중
631,경상남도,밀양시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 주식회사 지엠알(GMR),김해노인일자리창출지원센터,현장실습훈련 지원,10,0,2025-03-17 ~ 2025-12-31,접수중
632,경상남도,밀양시,"제조업(엔진 및 터빈, 내연기관) 일반형 10명", (주)화영,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,10,0,2025-01-15 ~ 2025-12-31,접수중
633,경상남도,양산시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 주식회사 지성물류,김해노인일자리창출지원센터,현장실습훈련 지원,1,0,2025-03-10 ~ 2025-12-31,접수중
